alpha coal mu x0 cdf cdfLow cdfHigh
1.85 1 2.71828 0 0.0613609 0.0594776 0.06329
1.85 1 7.38906 0 0.128771 0.126106 0.131351
1.85 1 20.0855 0 0.21927 0.216008 0.22249
1.85 1 54.5982 0 0.32676 0.323034 0.330502
1.85 1 148.413 0 0.456531 0.452579 0.460513
1.85 1 403.429 0 0.585039 0.581007 0.58908
1.85 1 1096.63 0 0.703241 0.699433 0.707012
1.85 1 2980.96 0 0.797604 0.79429 0.800863
1.85 1 8103.08 0 0.865145 0.862206 0.867931
1.85 1 22026.5 0 0.910438 0.908003 0.912856
1.85 1 59874.1 0 0.944581 0.942624 0.946477
1.85 1 162755 0 0.963643 0.96206 0.965249
1.85 1 442413 0 0.976632 0.975335 0.977928
1.85 1 1.2026e+06 0 0.986013 0.985026 0.987027
2.05 0.01 1 0 0 0 0
2.05 0.01 1.64872 0 0.00522284 0.00517409 0.0052716
2.05 0.01 2.71828 0 0.00851566 0.00843796 0.00859359
2.05 0.01 4.48169 0 0.0130017 0.0128857 0.0131201
2.05 0.01 7.38906 0 0.0175603 0.0174008 0.0177235
2.05 0.01 12.1825 0 0.0227631 0.0225519 0.0229742
2.05 0.01 20.0855 0 0.028587 0.0283278 0.0288338
2.05 0.01 33.1155 0 0.0351858 0.0348747 0.0355108
2.05 0.01 54.5982 0 0.0429167 0.0425389 0.0432894
2.05 0.01 90.0171 0 0.052446 0.0519881 0.0528972
2.05 0.01 148.413 0 0.0634153 0.0628707 0.0639586
2.05 0.01 244.692 0 0.0763124 0.0756831 0.0769582
2.05 0.01 403.429 0 0.0917416 0.0909811 0.0925
2.05 0.01 665.142 0 0.110302 0.109453 0.111192
2.05 0.01 1096.63 0 0.133166 0.132159 0.134174
2.05 0.01 1808.04 0 0.159701 0.15851 0.160884
2.05 0.01 2980.96 0 0.191265 0.189877 0.192624
2.05 0.01 4914.77 0 0.229211 0.227585 0.230798
2.05 0.01 8103.08 0 0.271529 0.269737 0.273317
2.05 0.01 13359.7 0 0.318421 0.316351 0.320388
2.05 0.01 22026.5 0 0.372397 0.370153 0.374703
2.05 0.01 36315.5 0 0.42888 0.426399 0.431307
2.05 0.01 59874.1 0 0.487727 0.485148 0.490404
2.05 0.01 98715.8 0 0.546275 0.54354 0.549067
2.05 0.01 162755 0 0.607196 0.60439 0.609973
2.05 0.01 268337 0 0.66443 0.661589 0.667262
2.05 0.01 442413 0 0.71763 0.714863 0.720366
2.05 0.01 729416 0 0.765268 0.76265 0.767898
2.05 0.01 1.2026e+06 0 0.808259 0.805715 0.810824
2.05 0.1 1 0 0 0 0
2.05 0.1 1.64872 0 0.0499508 0.049475 0.0504362
2.05 0.1 2.71828 0 0.0794313 0.0787012 0.0801274
2.05 0.1 4.48169 0 0.117101 0.116071 0.118119
2.05 0.1 7.38906 0 0.152633 0.151314 0.153915
2.05 0.1 12.1825 0 0.190132 0.18855 0.191697
2.05 0.1 20.0855 0 0.229239 0.227446 0.231051
2.05 0.1 33.1155 0 0.270048 0.268042 0.272081
2.05 0.1 54.5982 0 0.313862 0.311593 0.316107
2.05 0.1 90.0171 0 0.361972 0.359477 0.364403
2.05 0.1 148.413 0 0.411478 0.408773 0.414094
2.05 0.1 244.692 0 0.463024 0.460251 0.465744
2.05 0.1 403.429 0 0.515264 0.512343 0.518116
2.05 0.1 665.142 0 0.570282 0.567365 0.57318
2.05 0.1 1096.63 0 0.625021 0.622009 0.627997
2.05 0.1 1808.04 0 0.676166 0.673239 0.679115
2.05 0.1 2980.96 0 0.724987 0.72221 0.727791
2.05 0.1 4914.77 0 0.770463 0.767653 0.77315
2.05 0.1 8103.08 0 0.810516 0.807926 0.81308
2.05 0.1 13359.7 0 0.843445 0.841001 0.845983
2.05 0.1 22026.5 0 0.871734 0.869438 0.874005
2.05 0.1 36315.5 0 0.895237 0.89317 0.897343
2.05 0.1 59874.1 0 0.916629 0.914749 0.918509
2.05 0.1 98715.8 0 0.933384 0.931631 0.935134
2.05 0.1 162755 0 0.947584 0.946035 0.949159
2.05 0.1 268337 0 0.958127 0.956703 0.95954
2.05 0.1 442413 0 0.966433 0.965166 0.967709
2.05 0.1 729416 0 0.973238 0.972129 0.974368
2.05 0.1 1.2026e+06 0 0.979142 0.978145 0.980135
2.05 1 1 0 0 0 0
2.05 1 2.71828 0 0.443414 0.439874 0.447087
2.05 1 7.38906 0 0.60812 0.604274 0.611991
2.05 1 20.0855 0 0.709816 0.706172 0.713483
2.05 1 54.5982 0 0.787913 0.784647 0.791304
