alpha distance scale_parameter trial time pos_1 pos_2
2 1000 10 44 22816 513.327 513.327
2 1000 10 45 242102 1611.71 1611.71
2 1000 10 47 33798 420.102 420.102
2 1000 10 48 380351 2236.13 2236.13
2 1000 10 49 5625 248.965 248.965
1.5 10000 10 3 83488 -18245.5 -18245.5
1.5 10000 10 9 235728 -14114 -14114
1.5 10000 10 14 2792 10013.2 10013.2
1.5 10000 10 17 956352 -30609.2 -30609.2
1.5 10000 10 18 19749 -13819 -13819
1.5 10000 10 20 307190 -26742.7 -26742.7
1.5 10000 10 21 520904 -26425.9 -26425.9
1.5 10000 10 25 559255 -53236.5 -53236.5
1.5 10000 10 26 938905 -72580.4 -72580.4
1.5 10000 10 28 590442 -6373.18 -6373.18
1.5 10000 10 30 205584 24448 24448
1.5 10000 10 31 81646 -20388 -20388
1.5 10000 10 33 65054 -4035.18 -4035.18
1.5 10000 10 34 504609 -31087.4 -31087.4
1.5 10000 10 35 968104 35211.5 35211.5
1.5 10000 10 36 158958 5157.92 5157.92
1.5 10000 10 38 55832 -8667.09 -8667.09
1.5 10000 10 39 11275 -7105.68 -7105.68
1.5 10000 10 40 45184 -15113.3 -15113.3
1.5 10000 10 41 857723 29714 29714
1.5 10000 10 42 301741 27882.5 27882.5
1.5 10000 10 44 540196 -34659.2 -34659.2
1.5 10000 10 45 471454 -54407.4 -54407.4
1.5 10000 10 47 340800 -12800.5 -12800.5
